Name	Country	Sector	Industry	Desc	Departments	City	Year	Size	Url	Odsets	TW	financials
Bibblio	United Kingdom		Information & communication	Allows some online content from partner institutions to be published under CC licenses		35B Beresford Rd, London, N52HS	12/12/2013		http://bibblio.org/	Allows some online content from partner institutions to be published under CC licenses
Kiln	United Kingdom		Business administration and support services	ODI Supporter: uses open data in some visualisation projects		108 Greenwood Road, London, E8 1NE	12/24/2013		http://kiln.it/	ODI Supporter: uses open data in some visualisation projects
The Better With Data Society	United Kingdom		Information & communication	Partnered with Sheffield City Council on the Air Quality+ project, which seeks to improve air quality in Sheffield with open data		The Circle, 33 Rockingham Lane, Sheffield, Yorkshire, S1 4FW	1/28/2014		http://betterwithdata.co/	Partnered with Sheffield City Council on the Air Quality+ project, which seeks to improve air quality in Sheffield with open data
ASI	United Kingdom		Information & communication	ODI Supporter		Impact Hub Westminster, 1st Floor, New Zealand House, 80 Haymarket, London, SW1Y 4TE	2/3/2014		http://www.theasi.co/	ODI Supporter
Stolen Bikes UK	United Kingdom			Stolen Bikes is the company behind a number of websites focused on the reporting, identification and retrieval of bicycles that have been stolen. Use open crime data on stolen bikes to generate statistics, publish survey data on stolen bikes			3/11/2014		http://stolen-bikes.co.uk/	Use open crime data on stolen bikes to generate statistics, publish survey data on stolen bikes
Spend Network	United Kingdom			Spend Network is a data company which provides an online tool which compiles government spending and contracts data., ODI Startup: uses open spending data to create new insights for Government and its suppliers.		3rd Floor, 65 Clifton Street, London, EC2A 4JE	4/10/2014		https://spendnetwork.com//	ODI Startup: uses open spending data to create new insights for Government and its suppliers.
3D Repo	United Kingdom			3D Repo is a data company which has built and maintains an open source repository of 3D models, ODI Startup: created and maintains open source 3D version control framework for the construction industry		Gor­don House, 29 Gor­don Square, London, WC1H 0PP	4/28/2014		http://3drepo.org/	ODI Startup: created and maintains open source 3D version control framework for the construction industry
Hebe Works	United Kingdom			Hebe Works is a data-driven software developer specialising in providing open data, technology and media solutions to cities., Provide consultancy and delivery on a range of local open data projects, involved in the creation Leeds City Dashboard and Leeds Data Mill		46 The Calls, Leeds, LS2 7EY	6/30/2014		http://www.hebeworks.com/	Provide consultancy and delivery on a range of local open data projects, involved in the creation Leeds City Dashboard and Leeds Data Mill
App and Mobile	United Kingdom			App and mobile is a mobile application developer providing a wide range of applications for iOS and Android operating systems Transportation apps use open Tfl data feeds			7/8/2014		http://appandmobile.com/	Transportation apps use open Tfl data feeds
Resurgence	United Kingdom			Resurgence is an urban risk assessment, resilience building and ecosystems protection company that works to accelerate the adoption of new models and technologies for the inclusive use of data in such services ODI Startup: uses the power of open data and the unlocking of critical public domain information to address global and local issues		3rd Floor, 65 Clifton Street, London, EC2A 4JE	7/25/2014		http://www.resurgence.io/	ODI Startup: uses the power of open data and the unlocking of critical public domain information to address global and local issues
Open Addresses	United Kingdom			Open Addresses is a company aiming to provide address data as open data to provide an open alternative to the closed Postcode Address File (PAF) Uses companies house registered addresses to populate open address file and aims to publish address file as open data		3rd Floor, 65 Clifton Street, London, EC2A 4JE	8/12/2014		http://alpha.openaddressesuk.org/	Uses companies house registered addresses to populate open address file and aims to publish address file as open data
Endole	United Kingdom			Endole is the company behind the 'Open Company' online open data service providing corporate information for UK companies. Service based on open data from Companies House			12/9/2014		http://www.endole.co.uk/	Service based on open data from Companies House

Bikecitiziens	Austria	For-profit	Transport		Transportation	Graz	2013	1-10	http://www.bikecitizens.net/
Institute for Information Business at Vienna University of Economics and Business	Austria	Nonprofit	Education		Education	Vienna	1898		http://www.wu.ac.at
Hexaplant	Austria	For-profit	Data/information technology		Geodata	Vienna	2014	1-10	http://hexaplant.com
Computerwelt	Austria	For-profit	Publishing		Publishing	Vienna		11-50	http://www.computerwelt.at/
A-Trust	Austria	For-profit	Data/information technology		Certificates			11-50	https://www.a-trust.at/
ADV	Austria	Nonprofit	Data/information technology			Vienna	1959	1-10	www.adv.at
BRAU UNION ÖSTERREICH AG	Austria	For-profit	Brewery		Brewery	Linz	1921	1000+	http://www.brauunion.at/agegate/en
Das Lastenrad	Austria	Nonprofit	Transport		bike sharing	Graz	2011	1-10	https://www.das-lastenrad.at/
CGI IT-Services GmbH	Austria	For-profit	Data/information technology			Stotzing		1-10	http://www.cgiit.at/
Greenpeace in Zentral- und Osteuropa	Austria	Nonprofit			CSO enviromental lobbying	Vienna	1982	11-50	http://www.greenpeace.org/austria/de/ueber-uns/organisation/gp-cee/
Die Grünen	Austria	Nonprofit			party	Vienna	1970	11-50	http://gruene.at
HP Enterprise Business Hewlett Packard Ges.m.b.H. "ien	Austria	For-profit	Data/information technology			Vienna		201-1000	http://www8.hp.com/de/de/home.html
hpc DUAL	Austria	For-profit	Logistics			Vienna		11-50	http://www.hpcdual.at/
IBM Österreich	Austria	For-profit	Data/information technology			Vienna		201-1000	http://www.ibm.com/at-de/
KDZ	Austria	For-profit				Vienna		11-50	https://www.kdz.eu/
Klub der Köche Kärnten	Austria	Nonprofit				Nötsch		1-10	http://www.kkk.co.at/
Oroundo	Austria	For-profit				Vienna		1-10	http://www.oroundo.com/en/
Österreichische Lotterien Ges.m.b.H.	Austria	For-profit		Lottery	lottery numbers	Vienna		201-1000	https://www.lotterien.at/
NEOS	Austria	Nonprofit			party	Vienna		11-50	http://neos.eu
Österreichische Akademie der Wissenschaften (ÖAW)	Austria	Nonprofit			Science organisation	Vienna		1000+	http://www.oeaw.ac.at/oesterreichische-akademie-der-wissenschaften/
Open3	Austria	Nonprofit	Data/information technology		CSO	Vienna		1-10	http://open3.at
Österreichische Post Aktiengesellschaft	Austria	For-profit				Vienna		1000+	http://post.at
School of Data	Austria	Nonprofit			CSO	Vienna		1-10	https://schoolofdata.wordpress.com/
zoomsquare GmbH	Austria	For-profit	Data/information technology	real-estate search engine	geodata	Vienna		1-10	https://www.zoomsquare.com/en/
Purkersdorfer Jagdklub	Austria	Nonprofit			CSO	Vienna		1-10	http://www.jagdklub.eu/
Wirtschaftsförderungsinstitut der Wirtschaftskammer Österreich	Austria	Nonprofit				Vienna		1000+	http://www.wifi.at/start
Wien-Ticket	Austria	For-profit				Vienna		11-50	http://www.wien-ticket.at/de/home
regionalentwicklung	Austria	For-profit				Graz		1-10	http://regionalentwicklung.at/
semantic web company	Austria	For-profit	Data/information technology			Vienna		11-50	https://www.semantic-web.at/company
Berlin Partner für Wirtschaft und Technologie GmbH	Germany	Nonprofit		Berlin Partners		Berlin	1994	220	http://berlin-partner.de
Berliner Stadtreinigung (BSR)	Germany	For-profit		Waste-Management Berlin		Berlin	1945	5300	http://bsr.de
Deutsches Archäologisches Institut	Germany	Nonprofit		Archelogical Institute		Berlin	1829	280	http://dainst.de
Fraunhofer-Institut für Offene Kommunikationssysteme FOKUS	Germany	For-profit		Research Institute		Berlin	1998	450	http://fokus.fraunhofer.de
Robert Koch-Institut	Germany	Nonprofit		German Center for Disease Monitoring		Berlin	1891	1080	http://rki.de
beBerlin Senat	Germany	Nonprofit				Berlin		340	http://berlin.de/sen/wirtschaft
digiS	Germany					Berlin	2012	5	http://www.servicestelle-digitalisierung.de/
Stromnetz Berlin	Germany	Nonprofit	Power Utility Company			Berlin	2006	200	http://www.stromnetz.berlin/de/index.htm
VBB Verkehrsverbund Berlin-Brandenburg GmbH	Germany	For-profit	Transportation Company	transporation data		Berlin	1996	1000+	http://www.vbb.de/de/index.html
3D Content Logistics GmbH	Germany	For-profit	Transportation Company			Berlin	2012	1-10	http://www.3dcontentlogistics.com/
ally	Germany	For-profit	Transportation logistics			Berlin	2014	35	http://www.allyapp.com/
Bike Citizens GmbH	Germany	For-profit	Transportation			Berlin	2011	25	http://www.bikecitizens.net/
Code for Germany	Germany	Nonprofit	Education			Berlin	2014	3	http://codefor.de/
con terra	Germany	For-profit	Data/information technology		geodata	Berlin	1993	120	http://www.conterra.de/
Implisense GmbH	Germany	For-profit	Data/information technology	B2B Lead Generation & Cross- and Upselling	company data	Berlin	2013	16	http://www.implisense.com/
Kirsch und Pfaff GbR	Germany	For-profit	Data/information technology		weather data	Berlin	2015	2
mapegy GmbH	Germany	For-profit	Data/information technology	Big Data and Visual Analytics company, we provide top insights from global innovation dynamics at your fingertips.		Berlin	2012	15	http://www.mapegy.com/
Mapicture UG	Germany	For-profit	Data/information technology			Berlin	2013	4	http://www.mapicture.com/da/startside
Motion Intelligence	Germany	For-profit	Transportation logistics	The idea of Motion Intelligence and its technology Route360° is to simplify online search for spatial objects (local search) by using sophisticated route planning and travel time analysis and visualization.	geographic data	Berlin	2013	4	http://www.route360.net/
Mundraub	Germany	Nonprofit	Food	Finding free food (fruits) in the countryside	Geo, tree-data	Berlin	2009	9	http://mundraub.org/
Museum für Naturkunde (MfN)	Germany	Nonprofit	Education			Berlin	1810	290	http://www.naturkundemuseum-berlin.de/
Naturtrip	Germany	For-profit	Traveling	vacation with out cars	transport data, hotels, leisure	Berlin	2014	4	http://www.naturtrip.org/#!/
OpenDataCity	Germany	For-profit	Data/information technology			Berlin	2013	8	http://opendatacity.de
OSM Buildings	Germany	For-profit	Data/information technology	city-visualiazation	Geo-data	Berlin	2012	3	http://osmbuildings.org/
PTV Group	Germany	For-profit	Data/information technology	transport & logistics	transport data	Berlin	1979	611	http://www.ptvgroup.com/en/welcome-to-the-ptv-group/
viomedo	Germany	For-profit	Data/information technology	Neue Behandlungsmethoden, umfassende Untersuchungen, bessere Betreuung. Das Ziel von viomedo ist es, allen Betroffenen einfachen Zugang zu den Vorteilen von klinischen Studien zu bieten. Damit Betroffene bereits heute von der Therapie von Morgen profitieren können.		Berlin	2015	8	https://www.viomedo.de/
virtualcitySYSTEMS GmbH	Germany	For-profit	Data/information technology			Berlin	2005	17	http://virtualcitysystems.de/
Wikimedia Deutschland	Germany	Nonprofit	Data/information technology	wikimedia	wikidata	Berlin	2004	75	https://www.wikimedia.de/wiki/Hauptseite
Zeiss-Großplanetarium Berlin	Germany	Nonprofit	Education	Planetarium	geo, space data	Berlin	1987	7	http://sdtb.de/Zeiss-Grossplanetarium.25.0.html
Zentral- und Landesbibliothek Berlin	Germany	Nonprofit	Education	Library	books	Berlin	1995	250	http://www.zlb.de/
Deutsche Bahn	Germany	For-profit	Transportation	German Railway Company	Geodata	Frankfurt	1995	295000	http://www.deutschebahn.com/de/start.html
HUB - Highway Under Bridges	Italy	B2C		Andrea De Calisti				1-10	www.gap-italy.it			1/10/2016
OAE4FB	Italy	B2C		Stefano Puglia				1-10	www.binarioetico.it
Ilya	Italy	B2C		Ilya				1-10	www.mywweb.com
InSymbio	Italy	B2C		Stefano Esposito				1-10	www.rethink.uno
The Music Cloud	Italy	B2C		regesta.exe				1-10	www.regesta.com
LinkedData.Center	Italy	B2C		Enrico				1-10	http://LinkedData.Center/
The Semantic Literary Network	Italy	B2C		BabelMind				1-10	www.babelmind.com
B-Book (BabelBook)	Italy	B2C		Massimo Centra				1-10	BabelMind
Seejay	Italy	B2C		Fabrizio Ferreri				1-10	Seejay
OKS - Open Knowledge Server	Italy	B2C		Davide Galletti				1-10	C4K.it
The Music Cloud	Italy	B2C		Carlo Bruno				1-10	regesta.exe
The Startup Network	Italy	B2C		Salvatore Fallica				1-10	Startup Network S.r.l.
eCity	Italy	B2C		Roberto Bona				1-10	Mywweb
The Music Cloud	Italy	B2C		Carlo Bruno				1-10	regesta.exe
LinkedData.Center, a service to use linked open data for business	Italy	B2C		Flaminio Francisci				1-10	LinkedData.Center
GRAPEDOCS	Italy	B2C		Andrea Cruciani				1-10	TeamDev s.r.l.
Seejay	Italy	B2C		Fabrizio Ferreri				1-10	Seejay
FUNNEL	Italy	B2C		Francesco Molinari				1-10	XR8 sas
HealthDataBox	Italy	B2C		Jovan Stevovic				1-10	Chino Srls
Keep it simple, Square! K.i.i.S. (if a problem is big, is better to divide in smaller problem, smaller square!)	Italy	B2C		Alberto Bassi				1-10	Berross s.r.o.
Spaziodati	Italy	B2C					2012	1-10	http://www.spaziodati.eu/en/
Evodevo srl	Italy	B2C				Roma	2007	1-10	http://www.evodevo.it/it/prodotti/open-data-ground.html
depp srl	Italy	B2C				Roma	2008	1-10	http://www.depp.it/
Sinergis srl	Italy	B2C				Trento	1990	1-10	http://sinergis.it/
Planetek Italia s.r.l.	Italy	B2C					1994	1-10	http://www.planetek.it/
Regesta.exe srl	Italy	B2C				Roma	2008	1-10	http://www.regesta.com/
Cerved Group	Italy	B2C				Milano	2009	1-10	https://company.cerved.com/
ECUBING SRL	Italy	B2C				Palermo	2007	1-10	http://www.ecubing.it/
Acrm net srl	Italy	B2C				Roma	2007	1-10	http://www.acrmnet.com/
Enel	Italy	B2C						1-10	http://data.enel.com/
Openmove	Italy	B2C						1-10	http://openmove.org/en/
Webmapp	Italy	B2C						1-10	http://www.webmapp.it/
Gisig	Italy	B2C				Geneva		1-10	http://gisig.eu/
DataPress:Pain-free data portals for smart cities	United Kingdom			DataPress:Pain-free data portals for smart cities	Tom Rees			1-10	DataPress.io				ODINE
Pikhaya Smart Streets	United Kingdom			Pikhaya Smart Streets	Gavin Chait			1-10	http://www.whythawk.com/				ODINE
Using open data to increase levels of physical activity	United Kingdom			Using open data to increase levels of physical activity	Dominic Fennell			1-10	IMIN LTD				ODINE
OpenGazettes: Providing new insight into EU companies	United Kingdom			OpenGazettes: Providing new insight into EU companies	Chris Taggart			1-10	OpenCorporates.com				ODINE
Blockchain technology for transparency in supply chains	United Kingdom			Blockchain technology for transparency in supply chains	Jessi Baker			1-10	Provenancehq.com				ODINE
RentSquare	United Kingdom			RentSquare	Helena Trippe			1-10	RentSquare.net				ODINE
Standardised Regulatory Platform for Financial Institutions	United Kingdom			Standardised Regulatory Platform for Financial Institutions	Murat Abur			1-10	Suade Labs Ltd				ODINE
Generating Open Data on the Health of Children Across the UK	United Kingdom			Generating Open Data on the Health of Children Across the UK	Jeremy Mabbitt			1-10	www.sickly.org				ODINE
Thingful	United Kingdom			Thingful	Moeen Khawaja			1-10	www.thingful.net				ODINE
Energy Impact Analytics	United Kingdom			Energy Impact Analytics	Phillip Bruner			1-10	www.enian.co				ODINE
Tan	United Kingdom			Tan	Kah			1-10	www.basetax.co.uk				ODINE
ChalkRow PE Index	United Kingdom			ChalkRow PE Index	Chaney Ojinnaka			1-10	www.chalkrow.com				ODINE
ChartBlocks	United Kingdom			ChartBlocks	Sam			1-10	www.chartblocks.com				ODINE
City radar	United Kingdom			City radar	Ian			1-10	www.cityradar.co.uk				ODINE
Open Data Spaces	United Kingdom			Open Data Spaces	Kev			1-10	www.dataunity.org				ODINE
Emu Analytics	United Kingdom			Emu Analytics	Richard Vilton			1-10	www.emu-analytics.com				ODINE
Spend Network	United Kingdom			Spend Network	Ian Makgill			1-10	www.spendnetwork.com				ODINE
Ingen.io	Slovakia	For-profit		B2C	Martin			1-10	http://ingen.io				ODINE
Datafloq	Netherlands	For-profit		B2C	Mark van Rijmenam			1-10	https://datafloq.com				ODINE
Bliksem Labs B.V.	Netherlands	For-profit		B2C	Stefan de Konink			1-10	http://bliksemlabs.com/				ODINE
YuSale	Netherlands	For-profit		B2C	Bernard van der Wees			1-10	keydatos.com				ODINE
Erik-Jan Schreurs	Netherlands	For-profit		B2C	ReSnap			1-10	www.resnap.com				ODINE
Open Data based Fire Risk Assessment	Netherlands	For-profit		Nonprofit	Bart van Leeuwen			1-10	netage.nl				ODINE
IBeacons Living Lab - Actionable, data based, sensor operated Cities	Netherlands	For-profit		B2C	Paul Manwaring			1-10	Glimworm				ODINE
Satellite Mobile Applications P.C.	Greece	For-profit			Spyridon Koutsogiannis			1-10	www.extended.gr				ODINE
DRAXIS AGRO APPS PC	Greece	For-profit		B2C	Panagiota Syropoulou			1-10	http://www.draxis.net/				ODINE
nearU	Greece	For-profit		B2C	Apostolia Demertzi			1-10	http://www.movelle.com				ODINE
DRAXIS AGRO APPS P.C.	Greece	For-profit		B2C	Lazaros Xenidis			1-10	http://www.draxis.net/				ODINE
OpenResort S/I-as-a-Service Solution	Greece	For-profit		B2B	Charalampos Kourtzis			1-10	Infamous Labs Ltd				ODINE
RoadSpotters	Austria	For-profit		B2C	Peter Leitner			1-10	www.synyo.com				ODINE
BikeCitizens	Austria	For-profit		B2C	Mihai Ghete			1-10	www.bikecitizens.net				ODINE
Wave	Austria	For-profit		B2C	Patrick Wolowicz			1-10	http://subzero.eu				ODINE
KDZ - Centre for Public Administration Research	Austria	For-profit		B2G	Bernhard Krabina			1-10	http://www.kdz.or.at				ODINE
openlaws x-tended	Austria	For-profit		B2C	Clemens Wass			1-10	openlaws				ODINE
Increasing knowledge on sustainable urban mobility designs by open data provision	Austria	For-profit		B2C	Claus Köllinger			1-10	Forschungsgesellschaft Mobilität - Austrian Mobility Research FGM-AMOR gGmbH				ODINE
LinkedOpenEvents	Austria	For-profit		B2C	John Pereira			1-10	RedLink GmbH				ODINE

We Open Data	Belgium	For-profit				Brussels		1-10	http://weopendata.com
fstr	Belgium	For-profit				Brussels		1-10	http://www.fstr.eu
GrowAbric	Belgium	For-profit				Brussels		1-10	http://www.GrowAbric.com
Infinity Mobile BVBA	Belgium	For-profit				Brussels		1-10	http://www.infinity-mobile.io
Natan Group BVBA	Belgium	For-profit				Brussels		1-10	http://www.natanec.be
Transformy	Belgium	For-profit				Brussels		1-10	http://www.transformy.io
Cumul.io	Belgium	For-profit				Brussels		1-10	https://cumul.io

GAP Consult Ltd.	Bulgaria	For-profit				Sofia		1-10	http://gapconsult.bg
Sofia University	Bulgaria	For-profit				Sofia		1-10	http://www.fmi.uni-sofia.bg
Mozaika	Bulgaria	For-profit				Sofia		1-10	http://www.mozajka.co
Pension Company Ltd	Bulgaria	For-profit				Sofia		1-10	http://www.pension.care
Voronda	Bulgaria	For-profit				Sofia		1-10	http://www.voronda.com
Yatrus Analytics	Bulgaria	For-profit				Sofia		1-10	http://www.yatrusanalytics.com

Plazi	Switzerland	For-profit				Bern		1-10	http://plazi.org
Zazuko GmbH	Switzerland	For-profit				Bern		1-10	http://www.zazuko.com
MyDataMint GmbH	Switzerland	For-profit				Bern		1-10	http://www.zoa.me
AgriVeritas	Cyprus	For-profit				Nicosia		1-10	http://agriveritas.com

Lesprojekt - sluzby s.r.o.	Czech Republic	For-profit				Prague		1-10	http://www.lesprojekt.cz
AFORTI IT s.r.o.	Czech Republic	For-profit				Prague		1-10	http://www.aforti.cz
Czech Open Solutions Center spol.s r.o.	Czech Republic	For-profit				Prague		1-10	http://www.cosc.cz

Cargo3 Ivs	Denmark	For-profit				Copenhagen		1-10	http://findacargo.com
2.-0 LCA consultants	Denmark	For-profit				Copenhagen		1-10	http://lca-net.com/
Quadric	Denmark	For-profit				Copenhagen		1-10	http://quadric.net
Alkalaer	Denmark	For-profit				Copenhagen		1-10	http://www.alkalaer.dk
Fractal Flows	Denmark	For-profit				Copenhagen		1-10	http://www.fractalflows.com
Mapicture ApS	Denmark	For-profit				Copenhagen		1-10	http://www.mapicture.com

Instats	Estonia	For-profit				Tallinn		1-10	www.instats.co

Grassroots	Finland	For-profit				Helsinki		1-10	http://topicalio.org
Chasswheel Ltd.	Finland	For-profit				Helsinki		1-10	http://www.chasswheel.com
Citynomadi Ltd	Finland	For-profit				Helsinki		1-10	http://www.citynomadi.com
Coreorient Oy	Finland	For-profit				Helsinki		1-10	http://www.coreorient.com/en
FRUCT	Finland	For-profit				Helsinki		1-10	http://www.fruct.org
Hahmota Oy	Finland	For-profit				Helsinki		1-10	http://www.hahmota.fi
Nordic Human Resources Ltd	Finland	For-profit				Helsinki		1-10	http://www.nordic.fi
QRID Oy	Finland	For-profit				Helsinki		1-10	http://www.qrid.io
Screen.io	Finland	For-profit				Helsinki		1-10	http://www.screen.io
SkillzzUp	Finland	For-profit				Helsinki		1-10	http://www.skillzzup.com
Wisdom in Municipality	Finland	For-profit				Helsinki		1-10	www.diagonal.cc
BeneFit	Finland	For-profit				Helsinki		1-10	www.noste360.com
Tri	Finland	For-profit				Helsinki		1-10	www.revomedi.com

CommoPrices	France	For-profit				Paris		1-10	commoprices.com
Data Moove	France	For-profit				Paris		1-10	http://data-moove.fr/
Plume Labs	France	For-profit				Paris		1-10	http://plumelabs.com
Aeon Cr_ation	France	For-profit				Paris		1-10	http://www.aeon-creation.com
APIMKA	France	For-profit				Paris		1-10	http://www.apimka.fr
Doctrine.fr	France	For-profit				Paris		1-10	http://www.doctrine.fr
ENVISA SAS	France	For-profit				Paris		1-10	http://www.env-isa.com
bebtech	France	For-profit				Paris		1-10	http://www.joosport.com
Kernix	France	For-profit				Paris		1-10	http://www.kernix.com
odanak	France	For-profit				Paris		1-10	http://www.odanak.com
OPEN FORET	France	For-profit				Paris		1-10	http://www.openforet.fr
Vedyate	France	For-profit				Paris		1-10	http://www.vedyate.org
Weclaim	France	For-profit				Paris		1-10	https://www.weclaim.com/en

AGRO APPS P.C.	Greece	For-profit				Athens		1-10	http://agroapps.gr/en/homepage/
HybridStat O.E.	Greece	For-profit				Athens		1-10	http://hybridstat.gr
Athens Technology Center	Greece	For-profit				Athens		1-10	http://ilab.atc.gr
ATC	Greece	For-profit				Athens		1-10	http://ilab.atc.gr/people/ilias-spais
EXM P.C.	Greece	For-profit				Athens		1-10	http://weatherxm.com
Agroknow	Greece	For-profit				Athens		1-10	http://www.agroknow.com
Active Social Networking	Greece	For-profit				Athens		1-10	http://www.asn.gr
DataScouting	Greece	For-profit				Athens		1-10	http://www.datascouting.com
DOTSOFT SA	Greece	For-profit				Athens		1-10	http://www.dotsoft.gr
DRAXIS Environmental S.A.	Greece	For-profit				Athens		1-10	http://www.draxis.gr
DRAXIS AGRO APPS P.C.	Greece	For-profit				Athens		1-10	http://www.draxis.net/
GEOSPATIAL ENABLING TECHNOLOGIES	Greece	For-profit				Athens		1-10	http://www.getmap.eu
Infamous Labs Ltd	Greece	For-profit				Athens		1-10	http://www.infamouslabs.net
kopa3ka	Greece	For-profit				Athens		1-10	http://www.kopa3ka.com
Theofilos Mylonas	Greece	For-profit				Athens		1-10	http://www.linkedin.com/in/theofilosmilonas
CHRISTOS STAMATIS & CO L.P.	Greece	For-profit				Athens		1-10	http://www.mermix.gr
Modio Computing SP	Greece	For-profit				Athens		1-10	http://www.modio.io
movelle	Greece	For-profit				Athens		1-10	http://www.movelle.com
mSolutions - Sotiris Mylonas & SIA EE	Greece	For-profit				Athens		1-10	http://www.msolutions.gr
NovelTech	Greece	For-profit				Athens		1-10	http://www.noveltech.gr
OptionsNet	Greece	For-profit				Athens		1-10	http://www.optionsnet.gr
Space Geomatica Ltd	Greece	For-profit				Athens		1-10	http://www.spacegeomatica.com
Wepolitics	Greece	For-profit				Athens		1-10	http://www.wepolitics.co
Satellite Mobile Applications P.C.	Greece	For-profit				Athens		1-10	www.extended.gr

CROZ d.o.o.	Croatia	For-profit				Zagreb		1-10	http://croz.net
OpenDataStore	Croatia	For-profit				Zagreb		1-10	http://www.odatastore.com
Redo Dubrovnik j.d.o.o.	Croatia	For-profit				Zagreb		1-10	https://www.linkedin.com/in/edinbb

eGov Consulting Ltd.	Hungary	For-profit				Budapest		1-10	http://egov.hu/
Datakart Kft	Hungary	For-profit				Budapest		1-10	http://www.datakart.hu
K_zbeszerz  	Hungary	For-profit				Budapest		1-10	http://www.khf.hu
GreenAdvisor	Hungary	For-profit				Budapest		1-10	https://greenadvisor.me
MindInvest Kft.	Hungary	For-profit				Budapest		1-10	https://www.linkedin.com/in/rovnyai-j%C3%A1nos-95ba065?

DERI, National University of Ireland galway	Ireland	For-profit				Dublin		1-10	http://deri.ie
Open Knowledge Ireland	Ireland	For-profit				Dublin		1-10	http://openknowledge.ie
SIREn Solutions	Ireland	For-profit				Dublin		1-10	http://siren.solutions
Customer Insight Innovations	Ireland	For-profit				Dublin		1-10	http://www.ci-innovations.com
Derilinx	Ireland	For-profit				Dublin		1-10	http://www.derilinx.com
Dublin Inquirer	Ireland	For-profit				Dublin		1-10	http://www.dublininquirer.com
Exceedence Ltd	Ireland	For-profit				Dublin		1-10	http://www.exceedence.com
Instillo Limited	Ireland	For-profit				Dublin		1-10	http://www.instillo.com
KaffeeHouse Digital Ltd.	Ireland	For-profit				Dublin		1-10	http://www.kaffeehouse.com
Connemara Programme	Ireland	For-profit				Dublin		1-10	http://www.myconnemara.com
Travelbuddy	Ireland	For-profit				Dublin		1-10	http://www.travelbuddy.mobi
Virtual Business Environment	Ireland	For-profit				Dublin		1-10	http://www.virtualbusinessenvironment.com
Vizlegal	Ireland	For-profit				Dublin		1-10	http://www.vizlegal.com
Wripl Technology Limited	Ireland	For-profit				Dublin		1-10	http://www.wripl.com
Evercam	Ireland	For-profit				Dublin		1-10	https://www.evercam.io
OneBigWeb	Ireland	For-profit				Dublin		1-10	https://www.linkedin.com/in/harishkm

Apertio	Israel	For-profit				Jerusalem		1-10	http://Apertio.org
Ronit Shamay- Scoolers	Israel	For-profit				Jerusalem		1-10	http://il.linkedin.com/pub/ronit-shamay/0/871/876/
Movibility Ltd.	Israel	For-profit				Jerusalem		1-10	http://www.movibility.org
Voiceitt	Israel	For-profit				Jerusalem		1-10	http://www.talkitt.com
Taranis	Israel	For-profit				Jerusalem		1-10	http://www.taranis.ag
Farm Dog	Israel	For-profit				Jerusalem		1-10	http://www.thefarmdog.co

UAB Linked Data	Lithuania	For-profit				Vilnius		1-10	http://atomgraph.com/
22brains	Lithuania	For-profit				Vilnius		1-10	http://www.22brains.com
4SPIN	Lithuania	For-profit				Vilnius		1-10	http://www.4spin.eu
UAB "Innovatio"	Lithuania	For-profit				Vilnius		1-10	http://www.cashout-app.com
Eurokam	Lithuania	For-profit				Vilnius		1-10	http://www.eurokam.eu
Investment Development Agency	Lithuania	For-profit				Vilnius		1-10	http://www.inveda.eu
Netcode	Lithuania	For-profit				Vilnius		1-10	http://www.netcode.lt/en
The TOP	Lithuania	For-profit				Vilnius		1-10	http://www.thetop.world

Data Confidence S.A.	Luxembourg	For-profit				Luxembourg		1-10	http://www.data-confidence.com

Baltic Open Solutions Center, Ltd.	Latvia	For-profit				Riga		1-10	http://bosc.lv/
ReveaLOD - Revealing Linked Open Data to the public	Latvia	For-profit				Riga		1-10	www.vismart.biz

Sole Communication Network	Macedonia	For-profit				Skopje		1-10	http://www.solecomm.net

Bliksem Labs B.V.	Netherlands	For-profit				Amsterdam		1-10	http://bliksemlabs.com/
Fileradar BV	Netherlands	For-profit				Amsterdam		1-10	http://dantesoftware.com
future furniture	Netherlands	For-profit				Amsterdam		1-10	http://guts4roses.org
Ingrouper	Netherlands	For-profit				Amsterdam		1-10	http://ingrouper.com
1848	Netherlands	For-profit				Amsterdam		1-10	http://www.1848.nl
Civity B.V.	Netherlands	For-profit				Amsterdam		1-10	http://www.civity.nl
CountrPOS	Netherlands	For-profit				Amsterdam		1-10	http://www.countrhq.com
EdgeLeap	Netherlands	For-profit				Amsterdam		1-10	http://www.edgeleap.com
EigenZorg b.v.	Netherlands	For-profit				Amsterdam		1-10	http://www.eigenzorg.com
Glimworm	Netherlands	For-profit				Amsterdam		1-10	http://www.glimworm.com/
HKV	Netherlands	For-profit				Amsterdam		1-10	http://www.hkvconsultants.com
Natureherit Design & Consult BV	Netherlands	For-profit				Amsterdam		1-10	http://www.natureherit.com
ReSnap	Netherlands	For-profit				Amsterdam		1-10	http://www.resnap.com
Social Charging	Netherlands	For-profit				Amsterdam		1-10	http://www.Social-Charging.com
Spinque	Netherlands	For-profit				Amsterdam		1-10	http://www.spinque.com
Trakkies	Netherlands	For-profit				Amsterdam		1-10	http://www.trakkies.com
Transmissivity	Netherlands	For-profit				Amsterdam		1-10	http://www.transmissivity.nl
Unc Inc	Netherlands	For-profit				Amsterdam		1-10	http://www.uncinc.com
Datafloq	Netherlands	For-profit				Amsterdam		1-10	https://datafloq.com
